gene_id,symbol
ENSG00000205426,KRT81
ENSG00000206043,C18orf63
ENSG00000206931,RNU6-1042P
ENSG00000207296,RNU6-140P
ENSG00000211452,DIO1
ENSG00000213759,UGT2B11
ENSG00000213886,UBD
ENSG00000214107,MAGEB1
ENSG00000214381,LINC00488
ENSG00000214415,GNAT3
ENSG00000214866,DCDC2C
ENSG00000214897,PNMA6E
ENSG00000215148,PRSS41
ENSG00000216588,IGSF23
ENSG00000217275,RPS10P1
ENSG00000218020,THAP12P5
ENSG00000220891,LL22NC03-63E9.3
ENSG00000223138,RNA5SP450
ENSG00000223941,LINC01014
ENSG00000224223,VSTM2A-OT1
ENSG00000224717,LEMD1-DT
ENSG00000225833,GS1-594A7.3
ENSG00000225882,LINC01456
ENSG00000225937,PCA3
ENSG00000225972,MTND1P23
ENSG00000226080,RPL6P4
ENSG00000226476,LINC01748
ENSG00000227019,OR7E101P
ENSG00000227234,SPANXB1
ENSG00000227730,MTND6P5
ENSG00000229205,LINC00200
ENSG00000229415,SFTA3
ENSG00000229544,NKX1-2
ENSG00000230251,PHBP4
ENSG00000230257,NFE4
ENSG00000230916,MTCO1P53
ENSG00000231131,LNCAROD
ENSG00000231490,RPL7L1P2
ENSG00000231817,LINC01198
ENSG00000232190,LINC02181
ENSG00000233125,ACTBP12
ENSG00000234352,LOC349160
ENSG00000235623,OR7E110P
ENSG00000236242,MYO16-AS1
ENSG00000236366,LOC153910
ENSG00000237650,OR11Q1P
ENSG00000238125,SLC9A3P2
ENSG00000238266,LINC00707
ENSG00000238269,PAGE2B
ENSG00000240280,TCAM1P
ENSG00000240405,SAMMSON
ENSG00000242575,TUBAP13
ENSG00000244067,GSTA2
ENSG00000244122,UGT1A7
ENSG00000248211,TRPC7-AS1
ENSG00000249505,LOC100130760
ENSG00000250241,PCDH10-DT
ENSG00000250250,CTD-2350J17.1
ENSG00000250546,LOC101928978
ENSG00000250696,LOC105377267
ENSG00000251629,LINC02241
ENSG00000253301,LINC01606
ENSG00000253417,LINC02159
ENSG00000253644,LINC02845
ENSG00000254529,MRGPRX7P
ENSG00000254607,LOC101929427
ENSG00000255974,CYP2A6
ENSG00000256019,TAS2R63P
ENSG00000258483,LINC02251
ENSG00000259374,NDUFB4P11
ENSG00000259974,LINC00261
ENSG00000260026,LINC02189
ENSG00000260734,TLE7
ENSG00000261175,LINC02188
ENSG00000261231,LINC02133
ENSG00000261241,LOC112267895
ENSG00000262902,MTCO1P40
ENSG00000264026,LINC02003
ENSG00000264464,LINC02837
ENSG00000265417,LOC100129774
ENSG00000265992,ESRG
ENSG00000266278,LINC01910
ENSG00000266560,MAGEA10-MAGEA5
ENSG00000267978,MAGEA9B
ENSG00000268916,CSAG3
ENSG00000272620,AFAP1-AS1
ENSG00000273983,H3C8
ENSG00000274997,H2AC12
ENSG00000280081,LINC01667
ENSG00000280719,PCAT5
ENSG00000281131,SCHLAP1
ENSG00000281591,DBET
