"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WNT6",100.182254538243,-2.05359368643403,0.26372323303157,-7.78692746493139,6.86583410591977e-15,2.25083966504321e-12
"LCT",17.2998222138812,-2.05244321805659,0.248648937517435,-8.25438161348537,1.52690745834883e-16,7.83785707435585e-14
"ZP4",1.93669672668243,-1.52591655043538,0.409210693354197,-3.72892638246529,0.000192297315415624,0.00160846974035041
"ACTL8",43.1880147906428,-2.06749589381008,0.351306616347411,-5.88516070464642,3.97667399437671e-09,2.1107211682806e-07
"HOXB8",83.7011815982649,1.8027042100175,0.205150155435699,8.78724272077158,1.53275384738216e-18,1.27225091689516e-15
"MAGEB4",4.68522324197494,-2.23033839905974,0.51113169947632,-4.36352979348539,1.27980501761337e-05,0.000174561902753987
"LYZL1",1.6865318910532,-1.83115036878198,0.384953090134503,-4.75681431247162,1.96671919774068e-06,3.64839036339797e-05
"NR4A1",6546.23182853434,1.80620739602491,0.183037904415466,9.86794184402985,5.73288052957123e-23,1.06500540580778e-19
"PI3",101.414588916648,-2.33485024475961,0.303043920542198,-7.70465957733835,1.3119254604338e-14,3.9069340505682e-12
"EDN3",126.961157964609,1.68587525428704,0.302442084523583,5.57420855282983,2.48657708280022e-08,9.69094357184836e-07
"FOSB",6752.79473545511,1.57991438959376,0.230146073976659,6.86483311357286,6.65690291802465e-12,9.95015695930949e-10
"FOXA2",2.79407775456448,-2.56338025968781,0.517318941801294,-4.95512546044067,7.22836332316562e-07,1.58779791646023e-05
"LRRN4",11.3514423484372,-1.52645632537182,0.212779812302257,-7.17387758197414,7.29028054630836e-13,1.49688644564517e-10
"CSN1S1",32.9563685783508,2.20466876113554,0.460348880115402,4.78912593549239,1.67509335921693e-06,3.20336971224367e-05
"GNGT1",20.2483556297496,-1.60591694306391,0.557877303664267,-2.87862032119945,0.00399418883773513,0.0186545307000746
"LBP",408.784895235578,-1.66584451503053,0.278968679492899,-5.97143922414032,2.35169668328117e-09,1.38796355534289e-07
"ACE2",44.8914722380108,-1.7395490050983,0.250839993366733,-6.93489495734055,4.06523111423733e-12,6.60803317619279e-10
"KIF1A",684.65481212383,-3.52906790944818,0.30966316578029,-11.3964730049686,4.35403265937977e-30,1.54417747370658e-26
"CA6",14.4878742210429,-2.06824235461258,0.360633826450169,-5.73502040829319,9.75006052595041e-09,4.51183870437291e-07
"KRT34",1.04477365981161,-1.95671396404543,0.468530937444656,-4.17627483623014,2.96321771518498e-05,0.000350837783019108
"DDC",24.0012967817116,-2.66982278003847,0.308076250449783,-8.66611034164626,4.47133635093557e-18,3.10486976295336e-15
"FADS2",6892.39146470696,-1.50609562201143,0.201887223313765,-7.46008388886856,8.64674098543716e-14,2.23395138625083e-11
"TCN1",1050.0191963718,1.5369363545271,0.3045635785003,5.04635637030245,4.50315127333409e-07,1.07909666753876e-05
"UGT2A3",0.741153548239138,-1.57973506586027,0.4909607504949,-3.21764023757064,0.00129249824874197,0.0075551306083191
"CSN2",19.6932637077651,5.4101079815984,0.944057703308273,5.73069629392324,1.00019207387889e-08,4.59593559318767e-07
"UGT2B28",59.3100855952864,-1.73262489997361,0.368271908250428,-4.70474359069333,2.54185212373307e-06,4.507164980225e-05
"CGA",135.159880376577,1.62839282829923,0.420576903018467,3.87180754961176,0.00010803123591879,0.00100849834306385
"ELF5",1351.24304714842,-1.83039455878283,0.279876157130338,-6.5400160469204,6.1512232895615e-11,6.29846516987856e-09
