"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000006377.10",12.3108278051797,-2.38140876698448,0.269930698575765,-8.82229690638932,1.1213545299701e-18,1.0585039760708e-15
"ENSG00000010438.15",15.1860408762545,-1.53442115069341,0.254718809581978,-6.02398053450219,1.70178842234826e-09,1.07079517282842e-07
"ENSG00000019186.8",45.6415877798033,-1.67105271226869,0.256572748786285,-6.51297817158523,7.36752204275597e-11,7.70642805672274e-09
"ENSG00000036473.6",2.26700504860185,1.54748753443665,0.332244686935487,4.6576742843058,3.19801655671227e-06,5.50087274568348e-05
"ENSG00000039068.17",21560.1177337003,-1.86366506036185,0.1515787799389,-12.2950261317124,9.63256100214598e-35,6.21332293175089e-31
"ENSG00000047457.12",3116.28391543771,-1.70153849730899,0.268040324280612,-6.34806908951372,2.18034167655207e-10,1.90482129945639e-08
"ENSG00000054938.14",104.858587340961,-1.6185449727628,0.227507924467055,-7.1142355878561,1.12534786158878e-12,2.30440280101635e-10
"ENSG00000065371.16",95.4756272981269,-2.09992815311942,0.339147233992652,-6.19178911883715,5.94851036403789e-10,4.41125882994255e-08
"ENSG00000069482.6",93.4046835894098,-1.69368741152078,0.22775619944841,-7.4364053124465,1.03462065582616e-13,2.74259511108109e-11
"ENSG00000071991.7",64.2018708843199,-2.20135623390517,0.361725256530622,-6.08571338097543,1.15973751882037e-09,7.73864852644586e-08
"ENSG00000074803.16",73.0630858467653,-1.52979781696772,0.25942526103655,-5.89687299862518,3.70454766524429e-09,2.03655403040177e-07
"ENSG00000075043.16",7.11904770130526,-1.53504287311632,0.293555398563326,-5.22914203121077,1.70298499364044e-07,4.85338182797293e-06
"ENSG00000077522.11",109.790146250001,-1.81538629273062,0.279527792265837,-6.4944751218303,8.33233971296246e-11,8.41979664676432e-09
"ENSG00000077935.15",90.9119794184078,-1.53295618424352,0.214851760428404,-7.13494821353512,9.68236063149871e-13,2.02554984410953e-10
"ENSG00000082556.9",8.4224111506939,-1.59690069973236,0.314567043214017,-5.07650351230818,3.84443695150309e-07,9.48294448037429e-06
"ENSG00000088386.14",32.1447613819209,-2.46518044791649,0.261744128507872,-9.4182836572869,4.58521553935202e-21,7.09828047216008e-18
"ENSG00000090512.10",1.91992410748493,-1.93428189193679,0.430818592066401,-4.48978277065319,7.12958444479749e-06,0.000107574727946414
"ENSG00000092758.14",459.143403578572,-1.56160951520614,0.218494909864926,-7.14712080099042,8.86168899954926e-13,1.88442355857448e-10
"ENSG00000094755.15",8009.71286920963,-1.93473812423757,0.300765438494504,-6.4327142570702,1.25345158443358e-10,1.19947477919491e-08
"ENSG00000096006.10",473.120038341748,-1.91670724642822,0.325166242045825,-5.89454561571034,3.75713800300619e-09,2.05670091926939e-07
"ENSG00000100121.11",1.04092693791756,-1.54018084429519,0.382200456842024,-4.02977237918843,5.58308890570091e-05,0.000585415082168617
"ENSG00000100604.11",50.8329930245259,-2.82404621748641,0.327205728824686,-8.63079698399629,6.09259402377201e-18,4.36658470200045e-15
"ENSG00000100867.13",6837.52977841296,-1.5425635069952,0.327475060348002,-4.71047628896059,2.47138552426658e-06,4.41790127298684e-05
"ENSG00000101292.7",1.17604500727739,-1.72673018828929,0.411723694428276,-4.19390530993619,2.74192476342233e-05,0.000326215715321153
"ENSG00000101323.4",1.32057145117744,-2.06934645928332,0.565690745318827,-3.65808788000769,0.000254103926263597,0.0019887421949957
"ENSG00000101425.11",75.7356769329485,-2.08539857803834,0.245875339202851,-8.48152801659319,2.22255531334136e-17,1.41012025798258e-14
"ENSG00000101489.17",60.3815985237428,-1.68171157976746,0.195856576637362,-8.58644426774207,8.97022976730742e-18,6.09062863954968e-15
"ENSG00000102021.9",0.624325152428593,-1.91628037898107,0.474982686908489,-4.03442153113734,5.47369778183021e-05,0.000576443677693586
"ENSG00000102109.8",132.35741343977,-1.72582964825213,0.274945089347818,-6.27699753556562,3.45173552733361e-10,2.84838098888839e-08
"ENSG00000102243.11",310.605424424645,-3.12245383507273,0.331025775273407,-9.43266074218471,3.99815701449723e-21,6.72768142500312e-18
"ENSG00000102290.20",21.7709999235509,-2.10333464473975,0.30311285900645,-6.93911387208747,3.94567001738188e-12,6.7869031561206e-10
"ENSG00000102854.13",566.736098811686,-4.16592394504962,0.291746055374626,-14.2792811361245,2.94624871422031e-46,5.70128588688772e-42
"ENSG00000103355.11",8.44810910759304,-3.39002037279134,0.413016014841235,-8.2079634953005,2.24971584859296e-16,1.18759543196994e-13
"ENSG00000105141.5",209.357297563418,-2.20374573380817,0.3923419452103,-5.61690066716403,1.94413111575321e-08,8.03864983353427e-07
"ENSG00000105143.11",12.3035090302428,-1.75986415056273,0.333843048105095,-5.27153151923271,1.35290047983751e-07,4.03078940497853e-06
"ENSG00000105825.10",808.708566126167,1.59900311173811,0.255523428906897,6.25775537913873,3.90557781446043e-10,3.13596831068978e-08
"ENSG00000107159.11",128.836251445254,-2.38378521058391,0.303874473666603,-7.84463789215571,4.34204553727623e-15,1.5705219288193e-12
"ENSG00000108342.11",12.9421957590259,2.17210046142113,0.313784315858737,6.92227224766387,4.44456014425896e-12,7.57768135255993e-10
"ENSG00000108688.10",18.8765024615222,-1.53902588824322,0.32513951503025,-4.73343231781606,2.20754597523529e-06,4.02622263588861e-05
"ENSG00000109158.9",2.4447096892547,1.9943813180794,0.357913517373344,5.57224363224884,2.51479399483295e-08,1.00234353437719e-06
"ENSG00000109181.10",3.08468191828068,-1.52471257154085,0.43789255901864,-3.48193304530654,0.000497808146009814,0.00342875438100584
"ENSG00000109208.4",1.34737027419165,-2.00266485750606,0.741909320842198,-2.69933912574744,0.00694773375616393,0.0280855642188277
"ENSG00000109424.3",47.5984276034038,2.78244930701148,0.300332158477309,9.26457333479893,1.95858808313874e-20,2.70718842834412e-17
"ENSG00000110148.8",18.9227388544364,-3.45801713927662,0.362298207409046,-9.5446708500338,1.36540492421288e-21,2.51637625604224e-18
