"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_reg"
"ENSG00000036473",2.26700504860185,1.54748753443665,0.332244686935487,4.6576742843058,3.19801655671227e-06,5.50087274568348e-05,"OTC","Up"
"ENSG00000105825",808.708566126167,1.59900311173811,0.255523428906897,6.25775537913873,3.90557781446043e-10,3.13596831068978e-08,"TFPI2","Up"
"ENSG00000108342",12.9421957590259,2.17210046142113,0.313784315858737,6.92227224766387,4.44456014425896e-12,7.57768135255993e-10,"CSF3","Up"
"ENSG00000109158",2.4447096892547,1.9943813180794,0.357913517373344,5.57224363224884,2.51479399483295e-08,1.00234353437719e-06,"GABRA4","Up"
"ENSG00000109424",47.5984276034038,2.78244930701148,0.300332158477309,9.26457333479893,1.95858808313874e-20,2.70718842834412e-17,"UCP1","Up"
"ENSG00000110245",1.39767925503636,1.59478497552115,0.591391887363149,2.69666359921143,0.00700379845275304,0.0282590708630576,"APOC3","Up"
"ENSG00000120068",84.0425793715398,1.79220385877026,0.205021053972763,8.74156006928126,2.29913227970291e-18,1.91063976085887e-15,"HOXB8","Up"
"ENSG00000123358",6571.2535409326,1.79751504787363,0.18326571251217,9.80824521528685,1.03757120466439e-22,2.36212239781891e-19,"NR4A1","Up"
"ENSG00000124205",127.488228392439,1.67514593866908,0.302595272286619,5.53592898530939,3.09582993899688e-08,1.18746095440096e-06,"EDN3","Up"
"ENSG00000125740",6779.96082613075,1.569878658801,0.230300600074594,6.81665031829062,9.31877160214679e-12,1.39788797886157e-09,"FOSB","Up"
"ENSG00000126545",33.0834049557,2.19331492532763,0.46022042377355,4.76579224221228,1.88113019115389e-06,3.53523925523948e-05,"CSN1S1","Up"
"ENSG00000134827",1054.4471164031,1.5262437706093,0.305151144683426,5.00159936215439,5.68566504176784e-07,1.31449586885603e-05,"TCN1","Up"
"ENSG00000135222",19.7716286349865,5.39882139577126,0.944755594077265,5.71451646289986,1.10016398448105e-08,5.00924076792773e-07,"CSN2","Up"
"ENSG00000135346",135.196878634728,1.64106166355807,0.422232113119783,3.88663394508914,0.000101643851496099,0.00095411601760903,"CGA","Up"
"ENSG00000137204",4.14278416145152,1.76400615268546,0.304211602304652,5.79861563241399,6.68645906274446e-09,3.32621257900175e-07,"SLC22A7","Up"
"ENSG00000143125",16.0588072378334,1.95081397156059,0.270374442134809,7.21523068584979,5.384262117101e-13,1.21860650559089e-10,"PROK1","Up"
"ENSG00000145321",1.75454883731087,3.31529125581081,0.767188501694737,4.32135159545178,1.55076337244941e-05,0.000203864280028998,"GC","Up"
"ENSG00000160182",16256.3591543012,1.5024662303492,0.300677369752615,4.9969381852228,5.82477293732239e-07,1.34184739416816e-05,"TFF1","Up"
"ENSG00000162670",400.971956080814,1.78459537736785,0.470109269088389,3.79612888898881,0.000146973106768777,0.00128516791192165,"BRINP3","Up"
"ENSG00000164404",346.446393160524,2.14359112702442,0.234334942192793,9.14755224707732,5.82381255169249e-20,7.08330043522445e-17,"GDF9","Up"
"ENSG00000165973",56.2063797612926,1.50097258148791,0.448816849910221,3.34428750121158,0.000824941997311645,0.00514618071888383,"NELL1","Up"
"ENSG00000167531",21.1512293300973,3.22423661102532,0.863014465242494,3.7360168813849,0.00018695812261469,0.0015543068162457,"LALBA","Up"
"ENSG00000168619",0.743081136178206,1.67559464568835,0.493606597544584,3.39459531947809,0.00068730109955995,0.00444666117605637,"ADAM18","Up"
"ENSG00000169509",1.01125801304838,1.93682979216549,0.697397751979461,2.77722402555512,0.00548253763587966,0.0233398779130375,"CRCT1","Up"
"ENSG00000170419",1349.71818786559,1.69303820886046,0.471777541787632,3.58863671730811,0.00033241166038102,0.00246739472191528,"VSTM2A","Up"
"ENSG00000171195",63.5292726604906,1.65111933130625,0.459478284988597,3.59346542643953,0.000326308963689314,0.00243095467039535,"MUC7","Up"
"ENSG00000171199",243.949279112343,2.13616421704954,0.418196094399054,5.10804439749538,3.25510176904436e-07,8.22316897294745e-06,"OPRPN","Up"
"ENSG00000171446",1.58831837881429,1.57135588617661,0.262415200325431,5.98805208016881,2.12369067961599e-09,1.29506443445704e-07,"KRT27","Up"
"ENSG00000172232",81.731154675874,1.551312374192,0.239340240372751,6.48161952113015,9.0743240844758e-11,9.09830286832596e-09,"AZU1","Up"
"ENSG00000175084",231.79380153018,2.06466417414011,0.234400248706624,8.80828491237759,1.27075113364271e-18,1.17096691367238e-15,"DES","Up"
"ENSG00000180264",31.0606405604151,1.75817782752,0.338623761440453,5.19212774685683,2.07904266371877e-07,5.71065359625577e-06,"ADGRD2","Up"
"ENSG00000180772",2.75073083114647,2.23308359483666,0.47228017745332,4.72830260816393,2.26404583923563e-06,4.1041265606603e-05,"AGTR2","Up"
"ENSG00000183566",10.3569675963091,1.84162655595444,0.491657823779711,3.74574850003728,0.000179856709550943,0.00150732229818982,"BPIFA4P","Up"
"ENSG00000183654",23.6594851513943,1.54055660795572,0.380213116710675,4.05182393833091,5.08199020935403e-05,0.000542125647966979,"MARCHF11","Up"
"ENSG00000185149",61.1030703283543,1.82417145584543,0.429607454659349,4.24613548033489,2.17489152710554e-05,0.000269266320799868,"NPY2R","Up"
"ENSG00000186439",21.8369234079415,1.64738917948151,0.248440037894871,6.63093273306701,3.33572234036696e-11,3.97228080051944e-09,"TRDN","Up"
"ENSG00000186474",51.7457849474144,1.93574868992242,0.377549600656555,5.12713743189285,2.94180776195748e-07,7.57510605477566e-06,"KLK12","Up"
