id	filename	md5	size	state
1216fdbd-76aa-46a8-b5ee-5d1954677cd9	1216fdbd-76aa-46a8-b5ee-5d1954677cd9/7487d66f-3ca5-4df9-ac9e-88f0af7838c3.htseq.counts.gz	afb3373ef79e4436a91ac88374a7ef8b	247293	validated
1f216230-17e0-4036-a216-9c0b122868ab	1f216230-17e0-4036-a216-9c0b122868ab/a8c7988b-3063-45b8-8ecd-5f8f91e9954d.htseq.counts.gz	6f018e15175316603925bab03457914b	258607	validated
2079ca8b-0a5c-4b82-a544-9c8ab7e6ca2c	2079ca8b-0a5c-4b82-a544-9c8ab7e6ca2c/c4489317-3e8a-4159-b32b-4cfde723359a.htseq.counts.gz	b9641e8a62f9951623b6eabdecd99466	250897	validated
34a2a506-75bc-4fd4-8158-868734b1e29a	34a2a506-75bc-4fd4-8158-868734b1e29a/a8e5861f-e86c-473d-8ff7-5630532b3c61.htseq.counts.gz	24666dc75526e2a008add53020a22a45	257434	validated
47bd5d86-a4a5-40d6-bd8e-43f043694b5c	47bd5d86-a4a5-40d6-bd8e-43f043694b5c/3c8923de-0d68-4137-a5d9-657a77cac893.htseq.counts.gz	8900bd5b14816364c64cc79d550edca4	257387	validated
4c164548-16d9-4241-b82f-fa712815129e	4c164548-16d9-4241-b82f-fa712815129e/5943b9f4-fd43-46dc-8ebe-a0145e4ee7c3.htseq.counts.gz	9f9260c89da2e75c560c8d1899ecc2e3	255607	validated
51a4996b-a291-40ae-a505-f15fdd23f35a	51a4996b-a291-40ae-a505-f15fdd23f35a/ee6beadb-79ab-4f2f-87cc-bba566e6bc24.htseq.counts.gz	510bad216b74b7c42222d4373cd1da4b	246714	validated
54dbdf55-a610-4967-808a-7c4e36178595	54dbdf55-a610-4967-808a-7c4e36178595/ae53b898-c61d-4137-824a-104a4202299c.htseq.counts.gz	4d83e3d77f3237a1d6446594ff1ef7ca	250718	validated
6837ec98-d430-4dae-a4d2-ae3d32c5f25f	6837ec98-d430-4dae-a4d2-ae3d32c5f25f/ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.htseq.counts.gz	8d5f5ba36bb62b9241005818c58ad5a4	257478	validated
81f0ffb9-f85a-4e2d-bf6e-892f4a74a93e	81f0ffb9-f85a-4e2d-bf6e-892f4a74a93e/2afc73e0-d4e7-4b35-8c1c-8bfc1237ee0a.htseq.counts.gz	e0c79ca4dbf3c638411c832c67b6e112	260533	validated
84921ead-190f-482c-95a3-42f4abf585bd	84921ead-190f-482c-95a3-42f4abf585bd/86a3c9bd-5095-4ef2-a676-7c29d9f4db4b.htseq.counts.gz	600a9064ba09787fbe70db1f733dc985	255637	validated
87ad9580-5a1f-4d7b-919e-dd5395cfc263	87ad9580-5a1f-4d7b-919e-dd5395cfc263/168e9550-9975-4230-847a-71d868d46fb6.htseq.counts.gz	0f3e71903ccb592ee633232d399ff6f1	256182	validated
b2bf9274-481c-4719-9984-a0649c7aeb1a	b2bf9274-481c-4719-9984-a0649c7aeb1a/fd9be810-7e9e-4697-99b1-70a5c5901e07.htseq.counts.gz	77f82e8eef832fa2267f353440fbba57	257402	validated
c6921a78-f687-46b5-9de7-0603a4a0e99c	c6921a78-f687-46b5-9de7-0603a4a0e99c/29c4a2e1-2e48-4f4a-9ad6-9b0a7c04b8e9.htseq.counts.gz	1276927f62366695066349342e8ef9b3	252602	validated
c97b954e-b066-4983-bd3a-3b45955bce7e	c97b954e-b066-4983-bd3a-3b45955bce7e/3846d74d-423d-43c2-a33d-168456d67478.htseq.counts.gz	ca41ae8cda58ac38f89e26c4958edd7a	255467	validated
ce412daa-a619-4c92-9b79-a8f91e4fb7ca	ce412daa-a619-4c92-9b79-a8f91e4fb7ca/eeff4d01-f161-423f-9d6d-d2d31cc69047.htseq.counts.gz	659357365c5f9847e6d9b5ff68285072	255854	validated
d11fd8eb-be04-4a17-9878-6e10be101aee	d11fd8eb-be04-4a17-9878-6e10be101aee/258d40ba-4e39-4789-b997-cc4e828dda85.htseq.counts.gz	cdccd55df25e5d36ed882eb0c9fc115e	258842	validated
e77d1732-cf5c-4bb0-a66c-c81ff6754f30	e77d1732-cf5c-4bb0-a66c-c81ff6754f30/0786b089-8ed6-452e-b160-145e495f6862.htseq.counts.gz	61c337dfccce10e258169e4b484de36c	253244	validated
f465653a-fa3e-423c-b2d8-f8ba475b4467	f465653a-fa3e-423c-b2d8-f8ba475b4467/e53f1c7e-2846-491a-9517-7215f4af2f74.htseq.counts.gz	7189fadf6ef1fa08a25d409aff3d1396	253822	validated
f7145906-96a0-4a8e-a148-032bbe563a93	f7145906-96a0-4a8e-a148-032bbe563a93/c595d44f-7e4f-4ade-9c9a-87b44ccac393.htseq.counts.gz	9967e20771eaf2b24645ad9e94b334d8	254265	validated
