id	filename	md5	size	state
01543acc-2ec7-4a07-bcdf-c2de83b72965	c64c76e7-635c-458e-a032-07775aeb03d9.htseq.counts.gz	ef3d2f6f07bde0c32c008b54d4c7fe6c	257434	validated
01ca4ce4-f8d0-4a72-99e2-9e88b820906b	a19e31ff-1afa-4e25-8c79-28b922052ff2.htseq.counts.gz	302dd1ab3cd7c470e6f6d8a2e47b8b81	250455	validated
048f2967-e1e6-43c4-831f-178df5ddf660	26bfd2ed-0d81-48ae-afd5-cf61b249bc14.htseq.counts.gz	395fcfac97ac5b6a330a8d8a44be1bfb	251954	validated
06072d2c-78fd-4d11-a9be-e36673a89324	4dced115-7653-470d-b341-be1a447175db.htseq.counts.gz	c33769c1901301a3feaa28ec0774639d	254644	validated
074f7b7c-0c38-41f3-a1bc-5fa4e4610b1e	5018e9b3-06a9-47f9-b6c9-73d6dbaf188c.htseq.counts.gz	12f13809da70e60d288edb763a657b14	251585	validated
07e2a9de-5dfb-42ac-a447-d901ac4656a8	56451515-b448-4c8f-837a-8a78ac630d8d.htseq.counts.gz	1e97b1be2962edf2d35029a01491f3f8	259809	validated
09ef2304-52ec-4b89-bf13-6c50c867beea	b95cd925-a039-4c0f-b587-4bd4acf03e1f.htseq.counts.gz	9cea254d78ce9e30068da076c0f07271	245237	validated
0b9187d5-3b98-40a5-8605-e7ce73d22d0d	1c89ff2f-6e0a-4244-952b-1391dba1b815.htseq.counts.gz	5fb697b7248fe60db261252f21add0e0	260871	validated
0d92c396-aa52-4703-b0d1-2847d860e7e6	470d1bf7-55b9-4c8c-a3f3-f7ad6c1a4c77.htseq.counts.gz	51df051c2c056bfd88ceaba7f0c41a10	253843	validated
111e0f1e-be22-4ab7-aa02-502bc34a6932	39ff37d0-344a-4627-b972-68d81304b355.htseq.counts.gz	f6bac89349ba443d338fbf6e0511ab13	259075	validated
11ca0a93-72ae-487f-aec5-3d56194e2851	04c61105-b954-48fe-bfea-3018dd304295.htseq.counts.gz	c5824727ae16172d558849f5e97bc308	252874	validated
12f2970e-36d3-483d-9cd0-cc34df10701f	aab22bf4-8c7f-46b5-8170-844f24a65522.htseq.counts.gz	c42be981d4e428b35ad4c756762af41e	252897	validated
1490642d-d129-4630-8cd2-dd29c588524a	4138b9da-1f18-437f-8d62-c16d489e7c09.htseq.counts.gz	1f51bdcff83c537f3dc09ff7eb79bbd4	252337	validated
17bf5d73-c934-4890-8222-61e83a8512ef	64ba6d44-548b-4c0b-b86f-5edf7deddd97.htseq.counts.gz	8645cf130d0a2f10387e570ac79baab4	257117	validated
18229cd8-8cb2-4bff-bc88-1fc6e1c68605	1f853089-c40d-4bee-9833-837f327b275a.htseq.counts.gz	55aaf5d60f9879a21b02cafe2446360a	259394	validated
197b3698-b408-4256-bbee-fa6bc7546447	08be86a0-bf15-4e7a-8ffd-1848ab648f9e.htseq.counts.gz	539b6789c8794fa504d2ac91bb81e852	256797	validated
1ab5b577-e9c7-4b49-9bbd-3fc39d4dd44e	4a775326-e623-47d4-b105-d32fc21afb8a.htseq.counts.gz	4f0d884f17696cc309d6b3730ecd5f09	252684	validated
1b8ce3a3-4e5b-407f-a765-20d3ca124b5d	03d7d46d-fc0b-41ad-9086-414355a432af.htseq.counts.gz	aa3dd1c325dbcfc2eb0eb09bdf729490	253296	validated
1c29ba5a-4d4a-40e9-9711-ff0ac5b895bb	fb13b1f7-2b62-4cd9-8e01-875acc860016.htseq.counts.gz	85653db07fb2a735b66223ea7de8cdb2	251857	validated
22b167ed-6e7a-4e02-8110-831dfcfc8070	c09b211e-fb38-415d-bca4-487c9844ca39.htseq.counts.gz	86139f337754a98367630d563ad120eb	252393	validated
24e753ff-3b93-4d61-b3c0-3c6ad12686db	34cfd6c0-ebeb-446e-aa8c-a33358c6bdde.htseq.counts.gz	495571bbad65a19496a6a54e903a0c96	254793	validated
25de9c94-3a5c-4ddd-88e5-950700f183db	1968f4d3-ab4e-47f5-ae81-41b42fbd7da7.htseq.counts.gz	588ec611afc03584fad8588f827c5ba9	254819	validated
2d13036c-78f9-48e2-a292-afed358093ed	95e7a64b-f228-4d19-8e57-a02adde8d01d.htseq.counts.gz	436e8786bda0597ddc9d35868b8b421f	254464	validated
2d2320a8-3e82-42e0-ab7a-548f0fc4cd85	7e89a428-9132-4efa-b119-10241f0ecdcc.htseq.counts.gz	d92e8c7232f384255f3dcda32db3e006	253354	validated
2ea08d5a-1ae6-4944-8b07-aabe1599dc2a	379553b2-13c2-4543-a9c3-9616fc249730.htseq.counts.gz	e32666d6f22987529043ecf1fd92bf20	257405	validated
37c8c51f-49ca-4a30-8260-a44bc89c1569	e733093b-8a60-46d7-9ddd-ec8a82206126.htseq.counts.gz	899bbc50144486e87aa7d5c561a70fd5	253756	validated
37cf1cb8-3fe8-44c9-88f2-bfbd89ff4bb0	9ae1330c-a197-416a-9d5f-3ca16b36ec90.htseq.counts.gz	453259866a1cec82faada7667376c53e	249818	validated
3999296c-e924-4fcf-934d-afa6f2306cba	0a3fb653-84e8-426a-999a-8dc8127dfd6d.htseq.counts.gz	0f773f61ef57010658155d35d6dea1db	250476	validated
3b4e5099-5b88-4705-84a3-3dfc73d6a920	383e04eb-e6c6-4138-b336-1847e128807b.htseq.counts.gz	85eb714617ad974d055ee09fa873df17	253707	validated
3b6a9f65-b8be-4d84-8302-7defe7283ba7	bcf137e8-156d-4609-8b1b-9a9b379aa2ce.htseq.counts.gz	8e09ac3012f4433ed06dfb0ec71d46a3	252637	validated
3b7f6c6c-92dc-4741-8be7-efd8b0e21e4c	3f500570-271f-4da1-90d5-d60f353521e1.htseq.counts.gz	b61ea594eb3237a1dba76c595272ea43	252767	validated
3d79a31d-f4b7-4450-8a9a-48d5d0acbd92	8e5a3c88-35f5-4620-86d7-53c014a2687b.htseq.counts.gz	60d8d28d72ec2d037556a688ef9048f8	256649	validated
40b6f6f4-05f8-489d-bec7-2e567bd5776f	4c05f1ea-cd90-4a8c-b445-fb60850144d1.htseq.counts.gz	80a8787929a1c409c0f121499384f311	253811	validated
426bae83-15fe-4b2b-9e29-5d36c09a4361	98f9dbc0-5a0b-4a9a-b11e-e95ff9ff4497.htseq.counts.gz	a84c4dbf521bd765ffc49bdb1935e890	260272	validated
431eb9ba-d01a-423c-bc19-5aa4536a2bc6	eaf65f67-8d04-49ec-8bf6-883237d6e67e.htseq.counts.gz	02a3e0c0575ccbcb81f816a590b57dcc	253040	validated
4359de5b-be34-4bec-8d31-171ff1397533	ef9be0f1-2a17-49b9-b90e-2bb2e4f43c84.htseq.counts.gz	dbf93df4807f200f6ae8582fc2e78e36	254528	validated
45c126d9-a2a0-4614-955c-27b1a8bbd032	8e884e57-d4c4-4b44-a7a3-76bc9694388f.htseq.counts.gz	084617a81004e8ec48767ca2ef128741	256392	validated
48d76b1d-46b5-4194-9dcf-4948f28b35cd	74df62d7-45f0-47c3-b0fd-8b47ed7324b8.htseq.counts.gz	7843308166c8222a3757ac0fd7bc75ac	256391	validated
49d81f0d-632b-4cb0-a624-c4e63fe5d6a5	5deaf7ee-54a9-40b0-966d-b8478aa11207.htseq.counts.gz	59c2261ba6ab583b32c3735aa4254b63	258480	validated
4a6279a2-6328-49e8-8afe-06641cf1ed00	0320d3aa-0b8c-4bda-854a-eed5a2d48eda.htseq.counts.gz	e39902c512abcf40cab976fd3a347429	253085	validated
4a8a9478-1470-4ecf-a634-bb61a8a35102	6c6c01b5-ee5b-4ef0-a44f-2b982033fe4c.htseq.counts.gz	dae0962aa7ffd06b7dec3b57cbb6b540	251879	validated
4f1c82e6-d92c-463f-b00e-f0353d2fc493	8fd4ceba-6ad2-4726-bf8b-f0316640305c.htseq.counts.gz	97be57e0509033659752afc2f5eb2343	259540	validated
502bcaec-816d-4c35-890a-a8580621c2c3	97b56126-ffac-494c-ba64-ab43307b3e6d.htseq.counts.gz	ee5100d52000d97767e5179041720a8f	251303	validated
508814d3-8a12-4922-a0d7-004d65387e06	9c407021-6996-4654-9103-c4ae5d65ca9d.htseq.counts.gz	ca0196153437b098d52faf3b064dcb88	255838	validated
50e43331-be8d-405b-8e45-a25dd8c1c0ca	ef6406a9-591e-421f-8ed4-0fee40f53ef5.htseq.counts.gz	28cec4610f5e0b63b06063f6328241a0	249326	validated
5163c172-bd02-4288-8bc3-a49bde92c7f7	4b8c5e71-cc16-4181-a790-f4ea8d6d5ba7.htseq.counts.gz	069c709de2755b0af704b4525a8d19f6	257586	validated
51b4f318-7ec8-42c1-96ab-67b582d5c1e2	17466fb1-5b0f-4872-a7fb-448a1057a32e.htseq.counts.gz	7070c9248b2501fecfe086a4622054db	257307	validated
567f1e72-58fa-4b19-bb3f-584b70a89d82	ceefc80a-4852-44aa-a234-26d0e5062c5f.htseq.counts.gz	ed180babca207afb47a26b4d924a006c	256509	validated
56dcde50-ceae-4867-8095-7f09ab3bd5bf	eb5bc3d0-9f66-413f-b6bb-72a5a6b7fde9.htseq.counts.gz	c93d22468e81cbb4f49d63e8a66a511c	257296	validated
628a42db-4c6c-44a6-a2f8-1144150b1e66	488f53a2-92f8-4164-adc8-28b738a312fb.htseq.counts.gz	85b119da245a0357e2c0be162abb55f4	257211	validated
652f9fa7-2408-4359-b8b5-07af1ee238bd	2edcaaa7-63b4-40b4-abbe-5d7a84012e60.htseq.counts.gz	43a55118104c899ffd6361d9adaecac9	252831	validated
6601d268-6078-4f72-856d-13959df59b1c	9bb09b83-b276-4402-a02e-3c0c6e054e18.htseq.counts.gz	b03ed99fe202e0d17fbd565b352a8b0a	245358	validated
67734e16-6106-4bfe-b51d-b235c7cabc76	086a6348-e87d-44bf-96f3-71a42af960ff.htseq.counts.gz	1bb6dfc5d99ad4e6888b4c9e46ebe43f	256217	validated
6aad6979-c376-4afb-ae27-82bac0a2ca0e	394a5627-ac10-4c2d-a4d4-393898dd7d0a.htseq.counts.gz	95a7953f38881be02220ebcf75d3d18d	252398	validated
6d50cce8-ff83-417a-a335-143429e12511	0094a627-a55f-48dc-bbc3-ea66035e514a.htseq.counts.gz	8229b2df78a37f4533552450547b2b18	254610	validated
729e38ec-17d8-437c-bb01-34d0c428c6f6	96b44e28-67a2-4781-a85b-c82fe528157d.htseq.counts.gz	8e949adedca51f649aa8087cf11d2a4a	253723	validated
