"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"AC087379.1",0,0,0,1,0,0,0,11,0,0,0,0,1,1,20,0,9,0,0,1
"AC087379.2",0,0,0,8,0,0,3,33,0,0,0,0,19,0,177,0,13,1,0,6
"AC087385.1",6,2,0,6,6,1,8,2,5,2,4,1,6,2,1,0,2,1,202,1
"AC087385.2",1,5,5,7,6,9,2,3,5,0,5,15,12,11,2,12,1,5,0,1
"AC087385.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC087386.1",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC087386.2",1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"AC087392.1",10,28,1,16,48,14,29,6,35,11,34,37,22,16,4,11,28,27,42,10
"AC087392.2",0,1,1,1,6,0,2,1,2,0,3,17,0,7,1,0,1,1,55,3
"AC087392.3",10,23,12,14,13,13,12,19,12,7,25,6,7,25,12,3,18,8,31,4
"AC087392.4",5,12,3,4,5,11,4,5,3,2,8,1,9,11,4,0,0,3,8,2
"AC087392.5",2,12,4,5,4,7,0,13,4,1,7,12,2,15,4,0,8,1,6,6
"AC087393.1",0,3,0,5,0,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0
"AC087393.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087393.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087399.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087430.1",0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0
"AC087439.1",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC087439.2",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"AC087441.1",0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,1,3,0
"AC087441.2",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0
"AC087442.1",6,19,1,8,8,0,5,4,0,1,2,0,1,3,5,1,1,12,0,2
"AC087457.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
"AC087463.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087463.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087463.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087463.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087465.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"AC087468.1",0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0
"AC087473.1",1,0,0,0,1,0,4,0,2,0,0,0,0,0,2,0,0,1,2,1
"AC087477.1",0,0,2,1,1,1,3,1,1,0,1,0,0,0,0,1,1,1,0,0
"AC087477.2",25,110,114,24,128,44,44,45,23,18,113,9,51,218,61,33,37,133,112,80
"AC087477.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087477.4",0,1,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0
"AC087477.5",0,2,8,1,7,3,0,2,2,1,2,1,8,6,6,3,4,5,1,2
"AC087477.6",3,3,1,0,5,1,1,1,1,1,1,0,1,3,2,2,0,3,7,4
"AC087481.1",2,5,3,7,4,3,3,0,3,4,0,2,0,2,1,1,0,1,0,2
"AC087481.2",0,3,0,2,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1
"AC087481.3",402,468,267,270,327,149,283,357,266,153,518,60,182,375,295,238,50,255,131,123
"AC087482.1",4,11,2,2,20,32,0,2,1,3,3,1,0,1,3,0,1,3,2,0
"AC087491.1",4,7,2,33,14,7,125,74,66,16,19,14,11,17,43,1,4,5,124,26
"AC087498.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC087499.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087499.2",0,6,0,2,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
"AC087499.3",1,6,0,1,2,3,0,0,0,1,2,0,0,2,0,0,0,2,0,0
"AC087499.4",1,4,0,1,4,2,1,0,0,3,3,1,0,2,3,0,0,0,0,0
"AC087499.5",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"AC087499.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087499.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087500.1",132,427,222,113,74,125,161,339,247,53,202,99,72,183,156,50,96,131,72,41
"AC087500.2",25,56,23,14,23,16,43,48,10,22,48,15,19,74,13,9,13,28,362,6
"AC087501.1",2,11,1,0,4,0,6,9,0,6,0,1,15,15,2,1,0,2,52,2
"AC087501.2",0,6,0,0,1,0,1,3,1,0,0,2,1,6,0,0,0,0,26,1
"AC087501.3",0,0,0,0,1,0,3,0,0,2,0,1,0,0,1,0,0,0,0,0
"AC087501.4",77,136,63,47,91,93,44,136,75,39,80,79,119,178,72,41,41,61,13,36
"AC087516.1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC087516.2",0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0
"AC087518.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087521.1",49,40,2,34,120,24,6,13,70,2,32,16,24,2,9,9,13,30,8,2
"AC087521.2",6,21,3,8,12,0,17,5,3,1,8,0,2,2,2,8,1,15,62,4
"AC087521.3",2,8,3,6,7,2,13,9,7,5,8,8,10,6,2,5,3,10,6,1
"AC087565.1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AC087575.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087588.1",0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,1,0,0,16,0
"AC087588.2",9,4,6,8,2,29,26,9,24,0,10,10,12,0,0,7,2,2,3,0
"AC087612.1",0,0,0,0,2,2,0,1,0,0,1,0,0,0,1,2,0,0,4,0
"AC087620.1",1,1,0,3,0,1,4,2,1,1,7,1,0,4,1,4,0,2,8,0
"AC087623.1",150,32,32,59,43,510,56,182,25,37,131,62,166,14,130,12,3,21,37,16
"AC087623.2",37,31,25,21,18,62,13,59,31,42,35,53,57,19,29,14,10,17,9,6
"AC087623.3",1,4,3,1,4,48,4,13,0,4,10,18,28,4,8,3,6,2,0,3
"AC087627.1",27,7,4,3,11,3,4,0,8,25,17,9,20,3,4,3,3,18,5,6
"AC087632.1",4,4,2,1,0,4,6,3,4,2,3,0,4,6,0,5,4,7,45,2
"AC087633.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087633.2",1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,5,0,1
"AC087636.1",0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"AC087639.1",3,5,0,0,0,0,2,5,4,1,3,0,1,4,3,0,5,0,0,4
"AC087641.1",0,4,0,2,0,0,0,2,2,0,6,1,1,0,1,0,0,0,1,0
"AC087645.1",1,0,1,5,0,0,0,2,0,0,2,0,0,0,7,0,0,1,0,0
"AC087645.2",24,21,1,6,21,8,6,3,19,3,15,1,8,1,8,7,0,25,3,6
"AC087645.3",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"AC087650.1",0,1,2,3,3,3,2,0,1,3,3,1,0,1,0,12,0,0,1,1
"AC087664.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087664.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087664.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087667.1",0,2,0,1,1,4,10,0,9,0,5,0,0,6,1,0,3,24,0,0
"AC087672.1",3,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,2,0,0,2
"AC087672.2",3,8,3,10,34,2,4,5,8,20,18,8,21,8,1,3,19,9,29,4
"AC087683.1",2,3,2,1,3,1,16,0,1,8,2,3,9,2,1,1,0,0,1,4
"AC087683.2",8,13,4,2,5,15,8,5,13,2,8,17,16,6,3,9,14,0,45,4
"AC087685.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC087699.1",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC087721.1",1,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,1,4,0
"AC087741.1",844,1093,1250,442,900,536,1029,947,462,485,1280,290,425,674,885,511,1103,459,316,399
"AC087741.2",37,26,20,5,13,32,44,36,30,6,31,66,22,31,15,13,43,18,0,17
"AC087741.3",112,105,41,31,17,95,76,137,62,25,90,72,21,78,52,95,27,46,11,45
"AC087742.1",7,20,25,4,7,16,11,12,8,8,7,23,13,8,5,2,33,9,8,6
"AC087749.1",1,5,0,2,0,0,4,2,1,0,3,4,3,4,6,4,0,4,93,1
"AC087749.2",1,0,4,0,2,1,2,2,0,0,5,4,0,1,0,0,1,1,31,0
"AC087752.1",2,1,1,3,2,3,4,2,2,1,1,4,1,2,0,3,1,4,26,1
"AC087752.2",8,6,0,2,2,1,12,5,0,3,8,3,6,15,0,4,0,4,5,2
"AC087752.3",14,80,24,27,31,15,16,39,43,23,31,63,22,36,37,10,30,40,11,14
"AC087752.4",22,36,6,31,32,18,24,36,9,18,19,43,54,35,13,8,18,16,6,12
"AC087761.1",3,2,0,0,3,3,0,0,7,0,2,0,2,1,5,3,1,3,18,2
"AC087762.1",0,0,0,1,0,3,0,2,1,1,0,0,2,0,2,0,1,0,0,0
"AC087762.2",0,4,0,0,3,2,0,2,24,0,6,2,0,2,6,2,4,0,0,0
"AC087763.1",0,1,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0
"AC087783.1",0,12,1,1,0,0,9,5,5,0,1,1,0,3,0,4,1,5,0,1
"AC087783.2",0,14,2,2,10,1,0,5,24,2,3,0,1,2,8,1,1,0,0,2
"AC087808.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC087821.1",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,1
"AC087854.1",6,9,2,4,1,9,3,2,5,1,2,4,3,4,3,7,6,1,7,0
"AC087855.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087855.2",1,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"AC087857.1",1,6,1,2,0,3,10,0,0,1,0,0,0,8,0,6,0,2,0,0
"AC087863.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087878.1",53,0,0,1,0,1,19,4,4,8,0,8,4,0,1,3,0,3,18,2
"AC087879.1",0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0
"AC087883.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087884.1",1,4,0,2,0,1,3,1,0,0,0,0,1,0,0,0,0,0,15,0
"AC087885.1",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC087888.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC087893.1",1,3,1,0,1,2,0,0,0,0,1,2,0,1,1,0,0,1,64,0
"AC087893.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087894.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC087894.2",1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
"AC087894.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC087897.1",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC087897.2",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"AC089983.1",1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,4,0
"AC089984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC089984.2",6,9,2,0,5,1,4,3,5,3,3,13,6,7,0,2,0,0,71,1
"AC089984.3",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"AC089987.1",0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
"AC089987.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC089998.1",0,2,2,2,3,0,15,2,0,6,0,17,1,3,2,1,10,0,6,0
"AC089998.2",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC089998.3",3,10,0,6,0,0,7,2,2,0,6,2,0,7,5,7,1,6,24,0
"AC089998.4",0,0,0,1,1,1,2,0,0,5,2,1,1,2,0,0,0,0,1,0
"AC089999.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC089999.2",14,16,20,7,10,78,14,21,16,5,4,14,10,8,5,2,8,3,44,3
"AC090001.1",0,14,2,10,1,2,6,2,5,0,2,4,4,7,1,7,0,0,8,4
"AC090004.1",13,50,17,38,41,24,63,31,25,12,65,3,25,14,44,25,6,19,7,10
"AC090013.1",3,6,1,5,7,7,2,2,12,1,7,2,3,6,4,10,0,1,2,0
"AC090017.1",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090018.1",0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0
"AC090022.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090023.1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090023.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AC090044.1",2,2,5,33,1,2,3,0,0,2,33,0,1,3,9,0,0,1,0,5
"AC090049.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC090049.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090058.1",5,3,1,1,2,0,0,2,0,0,2,1,2,0,0,0,0,0,0,0
"AC090061.1",35,18,31,7,27,18,30,15,4,16,13,22,23,18,7,22,3,30,14,4
"AC090071.1",2,0,0,0,0,0,2,1,1,0,1,1,1,1,0,1,0,0,1,0
"AC090079.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090079.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090092.1",15,14,5,7,2,3,10,12,7,3,7,3,5,7,5,6,3,5,14,5
"AC090093.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090095.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC090099.1",0,1,0,0,0,1,2,0,0,1,1,0,0,2,0,0,0,1,0,0
"AC090099.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090099.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090099.4",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"AC090103.1",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC090109.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090114.1",11,7,14,17,15,21,21,19,25,4,16,47,11,35,14,51,5,16,34,9
"AC090114.2",633,913,473,640,782,1400,844,1521,967,302,1071,1465,692,851,657,371,680,558,356,477
"AC090114.3",100,223,8,79,47,15,46,46,15,15,78,11,12,56,30,91,2,90,309,24
"AC090115.1",0,4,1,3,2,0,6,0,3,1,13,3,0,2,4,8,1,4,10,1
"AC090116.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,1
"AC090124.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090124.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090124.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC090125.1",0,1,0,9,135,10,7,0,7,6,13,0,15,14,0,0,26,0,0,1
"AC090132.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090132.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090136.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC090136.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090136.3",12,31,0,11,34,19,3,4,3,8,77,3,9,7,12,8,3,18,2,11
"AC090138.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090142.1",0,0,0,1,0,3,1,0,2,0,1,1,0,1,0,3,0,0,0,2
"AC090142.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090142.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090150.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090150.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090151.1",1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0
"AC090152.1",15,53,0,41,80,28,10,15,28,103,47,8,141,10,32,5,8,26,1,29
"AC090155.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090155.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090159.1",1,2,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,1,0,2
"AC090164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC090164.2",8,3,0,1,0,1,1,5,7,1,1,1,0,3,1,5,0,5,2,0
"AC090164.3",0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
"AC090181.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090181.2",6,34,3,33,30,5,7,4,13,13,8,2,18,4,1,7,10,15,43,1
"AC090181.3",8,44,1,25,8,2,16,2,7,7,39,2,9,13,5,17,0,16,44,2
"AC090186.1",2,8,0,3,5,1,7,7,1,0,8,3,1,11,6,10,1,5,19,2
"AC090192.1",0,4,1,0,0,0,0,0,0,0,3,5,0,0,2,0,0,1,4,0
"AC090192.2",1,0,0,2,2,3,3,0,2,0,5,0,2,0,0,0,0,0,0,0
"AC090193.1",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1
"AC090193.2",0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,4,0
"AC090197.1",24,30,11,19,31,12,18,17,13,16,31,13,28,10,14,5,5,28,51,11
"AC090198.1",399,275,179,135,166,270,369,247,212,96,225,310,300,365,242,265,83,164,190,107
"AC090200.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090204.1",21,30,10,31,85,18,18,44,16,46,39,11,85,14,7,7,7,23,13,21
"AC090206.1",7,37,77,13,7,0,24,6,6,0,12,4,5,55,25,19,1,36,91,6
"AC090213.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC090220.1",1,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,0,259,1
"AC090227.1",0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1
"AC090227.2",2,1,0,0,6,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"AC090229.1",38,17,6,11,40,8,31,8,21,15,16,8,76,27,10,9,22,8,5,29
"AC090236.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090236.2",20,14,6,6,2,6,22,9,3,1,7,5,1,5,5,5,1,4,53,1
"AC090241.1",0,2,0,2,0,0,3,2,2,0,0,3,5,4,2,0,1,0,42,0
"AC090241.2",3,1,1,0,0,2,8,1,0,5,0,2,0,2,0,1,0,0,4,0
"AC090241.3",22,27,10,5,9,16,37,19,3,6,16,5,8,20,10,5,4,9,39,4
"AC090246.1",28,30,24,17,6,38,32,42,8,10,16,38,9,39,20,24,6,22,17,11
"AC090260.1",7,10,1,2,13,5,5,3,4,5,8,1,10,5,2,2,2,2,7,3
"AC090281.1",1,2,1,0,2,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0
"AC090282.1",2,1,0,0,0,2,0,1,0,0,0,0,1,1,0,2,0,0,0,0
"AC090283.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090286.1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
"AC090286.2",4,5,2,4,2,1,1,6,3,0,2,3,2,4,0,2,1,1,0,0
"AC090286.3",0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,2,0,0,7,0
"AC090287.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"AC090311.1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0
"AC090312.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090312.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090337.1",5,4,1,0,12,4,0,0,7,0,12,1,0,2,3,0,2,2,12,2
"AC090340.1",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"AC090358.1",0,2,2,0,0,0,4,0,1,0,0,0,0,0,0,3,0,1,2,1
"AC090360.1",153,97,43,15,69,37,171,166,154,59,102,158,128,85,61,69,172,51,30,28
"AC090365.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090371.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090371.2",1,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC090373.1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0
"AC090376.1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"AC090377.1",0,1,2,0,0,0,1,0,0,0,0,1,0,2,1,0,2,0,9,0
"AC090386.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090386.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090398.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC090403.1",0,2,0,1,0,0,2,2,9,0,0,1,0,0,0,0,3,0,0,0
"AC090409.1",45,9,13,8,17,12,4,6,17,1,12,9,15,5,10,8,4,7,0,3
"AC090409.2",0,2,0,1,0,0,4,1,0,2,2,6,6,1,0,0,0,1,7,1
"AC090415.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090415.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090424.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"AC090425.1",23,11,6,7,10,17,33,15,15,9,4,51,20,14,8,4,10,8,6,2
"AC090425.2",33,19,5,9,6,9,69,15,9,13,13,16,30,24,11,9,2,14,11,4
"AC090453.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"AC090457.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090458.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"AC090498.1",134,223,424,930,878,1876,293,1124,1153,169,662,903,354,1579,618,1499,571,767,3,446
"AC090502.1",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC090502.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC090502.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090502.4",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090503.1",0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
"AC090503.2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AC090505.1",1,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,1
"AC090505.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AC090506.1",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"AC090506.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC090510.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090510.2",7,16,9,12,22,23,15,20,10,3,15,3,9,14,24,7,1,6,47,1
"AC090510.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090515.1",4,5,0,9,25,5,3,3,20,0,7,6,9,4,2,15,0,0,3,1
"AC090515.2",34,49,51,18,14,39,41,40,33,18,42,16,31,27,23,30,18,33,7,22
"AC090515.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090515.4",4,3,1,3,6,7,2,2,4,0,17,0,9,1,5,3,0,4,2,6
"AC090515.5",4,1,1,3,0,3,5,3,1,0,1,0,3,1,3,1,0,1,42,1
"AC090517.1",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"AC090517.2",12,18,16,52,24,44,36,25,23,18,16,16,20,29,21,25,14,14,10,11
"AC090517.3",0,2,1,0,2,0,1,2,0,0,1,1,4,0,0,0,0,0,8,0
"AC090518.1",6,2,1,2,1,0,8,2,0,1,3,1,0,0,2,0,0,0,6,0
"AC090519.1",9,5,2,0,7,1,6,2,2,0,2,5,7,2,2,5,0,3,14,3
"AC090519.2",2,1,1,3,0,0,3,1,2,0,2,2,2,1,0,2,0,2,24,1
"AC090525.1",0,1,0,2,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0
"AC090525.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"AC090525.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090527.1",0,1,0,0,2,0,1,0,0,0,2,0,0,1,0,1,0,0,3,0
