"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"ABCA3",13547,5087,2063,2611,2495,3166,3428,7433,7239,3063,3192,7979,1916,6006,5330,3488,3115,6740,595,5773
"ABCA4",172,399,221,174,237,69,470,2319,110,49,317,23,27,503,56,74,100,501,632,58
"ABCA5",1462,1906,1144,1172,1344,581,884,1770,272,1419,1743,793,1456,1322,1471,539,523,1746,854,569
"ABCA6",195,1203,54,838,2541,386,197,175,107,195,2119,202,578,326,701,213,82,1023,1052,343
"ABCA7",2447,3330,1471,931,3327,896,745,1945,1718,1301,2134,1700,604,1338,1337,749,214,585,224,651
"ABCA8",263,1858,73,916,2860,1512,142,606,116,13,2762,226,657,267,1139,365,56,1336,741,392
"ABCA9",62,1547,42,580,1309,425,132,327,77,100,3148,187,235,233,619,180,92,1095,783,157
"ABCA9-AS1",0,6,0,1,3,0,1,1,2,0,7,0,0,0,2,0,1,4,54,1
"ABCB1",304,718,97,798,580,225,151,352,121,219,707,229,731,293,588,261,43,891,136,346
"ABCB10",3003,2592,696,966,1639,947,4020,1082,1784,453,1578,627,1868,1865,875,2322,901,1667,487,699
"ABCB10P1",8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,1,3
"ABCB10P3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"ABCB10P4",1,0,0,0,0,1,3,1,0,0,0,0,1,1,0,1,0,4,0,0
"ABCB11",4,22,1,1,11,6,28,0,8,2,13,11,14,2,4,1,1,5,4,1
"ABCB4",245,141,85,152,303,80,164,33,169,153,130,98,222,119,64,110,75,158,76,111
"ABCB5",17,185,4,48,21,52,11,18,1,0,586,25,0,22,26,60,4,41,33,1
"ABCB6",821,466,323,381,267,149,245,292,80,120,363,738,214,355,292,128,54,281,24,139
"ABCB7",1840,1684,1073,1231,1630,1044,1515,1513,1393,328,1352,915,1542,2106,884,1550,233,1251,403,738
"ABCB8",4530,5726,1887,3176,2728,2766,2178,3106,4820,944,3135,4340,1726,3582,2240,1699,1360,2671,879,1383
"ABCB9",565,1220,314,324,500,194,263,326,1206,256,362,1337,373,422,395,334,134,1238,135,388
"ABCC1",5422,4550,1591,3423,4675,2620,4887,3938,4246,1456,4964,2048,3986,3974,2180,1508,2659,4320,1570,2084
"ABCC10",2224,1810,741,1121,1972,1323,939,1999,1464,628,2187,1206,1113,1438,1327,885,674,1186,264,862
"ABCC11",670,40985,349,10910,2404,28,3575,2160,790,20,1005,58,51,2097,2357,205,963,3866,437,611
"ABCC12",20,431,9,28,35,0,588,44,15,1,21,0,1,11,31,1,203,65,127,33
"ABCC13",0,2,8,5,19,126,134,59,50,0,5,4,0,168,2,4,30,26,46,1
"ABCC2",59,57,93,64,70,30,231,97,175,38,85,20,161,43,40,26,30,47,36,16
"ABCC3",1015,1426,2215,1608,2168,2717,1492,3858,957,403,3249,202,2246,709,1497,3260,369,3812,613,1294
"ABCC4",351,656,122,491,933,292,247,239,285,270,844,58,1011,314,247,343,99,490,160,387
"ABCC5",8078,5027,5349,6725,5873,2079,5930,2392,15429,1333,5811,4092,5268,1631,2767,2743,5144,5342,4402,2433
"ABCC5-AS1",0,1,0,0,0,0,3,1,1,0,2,3,0,0,2,1,4,0,37,1
"ABCC6",199,1138,351,1240,406,922,231,735,166,65,436,116,70,609,624,12,173,850,98,159
"ABCC6P1",4,31,7,21,24,9,6,43,1,1,25,7,4,12,38,0,28,52,1,5
"ABCC6P2",6,34,0,6,1,2,10,42,4,0,11,1,5,15,13,2,18,95,0,7
"ABCC8",234,7906,829,1681,247,91,513,3599,834,174,1017,975,557,791,176,81,230,684,272,87
"ABCC9",1131,1188,164,452,1832,649,404,134,233,76,1725,275,1175,335,724,650,80,881,824,480
"ABCD1",1682,2590,978,1204,2028,1060,543,1240,1792,587,1842,1229,734,1123,617,803,553,1088,67,621
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ABCD2",68,168,6,79,479,168,18,19,12,121,119,9,301,31,41,34,3,101,24,55
"ABCD3",23568,5665,6483,5512,2581,6014,10870,10063,2546,3267,4166,4331,4122,16992,3798,14220,591,6783,1008,2844
"ABCD4",3322,2494,1235,1691,4134,2476,1225,3289,2078,921,3944,3183,1386,2711,2262,1344,1054,1904,326,1329
"ABCE1",7026,4928,2014,4630,3630,2585,6787,3853,3537,1296,3940,1868,8016,5879,2472,3954,1634,3421,750,2240
"ABCF1",7855,4569,2439,5332,5846,4741,3760,6081,6859,1378,5002,7000,4589,7536,3573,3843,2736,3769,709,3394
"ABCF2",5583,4780,2039,4953,3238,2838,3120,4396,3827,925,3612,2790,5831,4786,2697,2359,2017,3242,422,2026
"ABCF2P1",3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
