"","gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000000005.5","TNMD",53.8552875944317,1.05334863736765,0.228176855486819,4.61636932948486,3.90511714612642e-06,6.5018380885176e-05
"2","ENSG00000001561.6","ENPP4",1769.93119577755,0.0923998271516113,0.119667221399964,0.772139823007864,0.440031618223906,0.611909656025915
"3","ENSG00000004478.7","FKBP4",21742.9967735399,-0.226875001612071,0.0939206480673024,-2.41560302532724,0.0157091776719091,0.0543496310160091
"4","ENSG00000004799.7","PDK4",4025.7035306976,1.03230990316196,0.170745681135801,6.04589173966236,1.48585848466655e-09,9.3645090797757e-08
"5","ENSG00000005022.5","SLC25A5",13316.3623505074,-0.312287118251029,0.0776414752128293,-4.02216878794477,5.76647098587314e-05,0.00060543435624471
"6","ENSG00000005073.5","HOXA11",50.2481139469146,-0.419555952222919,0.179295334737543,-2.34002715596072,0.0192823377874468,0.063436788376006
"7","ENSG00000005381.7","MPO",14.3289977083629,-0.124484379355481,0.160068602551108,-0.777693922302691,0.436749476017581,0.6091041560933
"8","ENSG00000005513.9","SOX8",112.273873763898,-0.440275113548551,0.198644961236998,-2.2163920534751,0.026664663453378,0.0810228271121355
"9","ENSG00000006059.3","KRT33A",9.19256654394603,-0.195703870288822,0.30294528113462,-0.646004022759003,0.518276750190507,0.678809258659507
"10","ENSG00000006116.3","CACNG3",0.608361025546867,-0.0272448234716862,0.39791238854462,-0.0684694024514673,0.945411976205098,0.970028194616624
"11","ENSG00000006194.9","ZNF263",2879.99445276437,-0.0252519687176459,0.0593701461378679,-0.425331085744785,0.670595335600458,0.797881650122039
"12","ENSG00000006210.6","CX3CL1",4562.30091553574,-0.0634834872969463,0.173091048640231,-0.366763548985693,0.713795399384932,0.82768357272634
"13","ENSG00000006377.10","DLX6",12.2752027509953,-2.37282256900239,0.269294030287621,-8.81127058950426,1.23735288941025e-18,1.04938284612332e-15
"14","ENSG00000006831.9","ADIPOR2",9177.26090377695,-0.386467108399093,0.10792180348546,-3.5809919396979,0.00034229221503024,0.00256995840892224
"15","ENSG00000007520.3","TSR3",2595.53900050409,0.231617837106336,0.0962180115495252,2.40721912016565,0.0160745219594972,0.0553095123199774
"16","ENSG00000007968.6","E2F2",483.886792897327,-0.801956763185985,0.14543468171234,-5.51420578464358,3.50358469658496e-08,1.28823606204687e-06
"17","ENSG00000008018.8","PSMB1",7960.72437682307,-0.224905808854713,0.0700568929886409,-3.21033090764072,0.00132582247571725,0.00771869667552324
"18","ENSG00000008197.4","TFAP2D",0.13000132232897,-0.228081405327327,0.99446193225035,-0.229351569859699,0.818595674545832,NA
"19","ENSG00000008438.4","PGLYRP1",3.00700388105239,0.465535233932908,0.228941501935033,2.03342439006543,0.0420096652839411,0.114444564638965
"20","ENSG00000008735.13","MAPK8IP2",1484.44448892406,-0.24196400699225,0.16509831716755,-1.46557524718252,0.142764038789446,0.283262673240457
"21","ENSG00000010017.12","RANBP9",3999.86433462447,-0.344729420225199,0.0722764237469649,-4.76959708787023,1.84594759505196e-06,3.47390774617305e-05
"22","ENSG00000013293.5","SLC7A14",4.61110668333652,1.01470754457395,0.217532494984831,4.66462513862448,3.09180136059122e-06,5.32291944745739e-05
"23","ENSG00000013392.7","RWDD2A",569.644142588919,0.0306341701298198,0.0779804057323709,0.392844456785162,0.694434367153813,0.814652639645303
"24","ENSG00000014123.9","UFL1",3027.33660361638,-0.112902217612436,0.0669739529904022,-1.68576308507003,0.0918414405903169,0.205419004719037
"25","ENSG00000014164.6","ZC3H3",2029.0905405927,-0.140851027056968,0.0708021839574924,-1.9893599206139,0.0466614901608842,0.123859158614439
"26","ENSG00000016602.9","CLCA4",25.4921213219553,0.7304532999188,0.254917663868741,2.8654479600712,0.00416419710347284,0.0192769579669729
"27","ENSG00000018607.6","ZNF806",0.666982944717064,0.00345467032040474,0.313076169277763,0.0110346000731207,0.991195841636626,0.995378459769218
"28","ENSG00000019169.10","MARCO",230.565187559753,-0.561858864551116,0.267780387529711,-2.0982076758283,0.0358868038555616,0.101745348256771
"29","ENSG00000019995.6","ZRANB1",1344.42019321136,-0.155883549288779,0.0696811459705218,-2.23709795695273,0.0252799384730325,0.0778163631290153
"30","ENSG00000020219.9","CCT8L1P",0.920260628366012,-0.17912647314461,0.264065645264163,-0.678340694282351,0.497555702229665,0.661147671791575
"31","ENSG00000023318.7","ERP44",4020.35687927146,-0.239126289844116,0.0593911654843032,-4.02629394278036,5.66628489155896e-05,0.00059693948407086
"32","ENSG00000023516.8","AKAP11",4092.16845389361,-0.0816639361585883,0.084152577061353,-0.970427038723362,0.331833676496535,0.509484646679634
"33","ENSG00000023608.4","SNAPC1",432.298609753704,-0.100825694065694,0.0505181545388322,-1.99583090447596,0.0459523316777394,0.122468394822515
"34","ENSG00000023892.10","DEF6",1480.66372776521,0.268311694534783,0.0936603870641138,2.86472972134008,0.00417365304973883,0.0193077852219153
"35","ENSG00000025772.7","TOMM34",2625.23646440209,-0.312770447346121,0.062500973731804,-5.00424919279242,5.60801738337859e-07,1.29149925714502e-05
"36","ENSG00000027644.4","INSRR",27.9629183680666,0.557618862681315,0.161915434737229,3.44388948210077,0.00057341004001756,0.00390547801707684
"37","ENSG00000029559.6","IBSP",120.277237336254,-1.11445671473347,0.224247949117842,-4.96975209413319,6.703855851483e-07,1.49198531249372e-05
"38","ENSG00000031691.6","CENPQ",378.072048514501,-0.176435093786154,0.0731282081471467,-2.41268175792214,0.0158356396209115,0.0546611195267208
