ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000004766.14,2135.471285,-0.030269122,0.083676402,-0.361740242,0.717546152,0.830124183
ENSG00000004776.10,834.067295,0.576949896,0.177426435,3.251769646,0.001146889,0.006871824
ENSG00000004777.17,941.7990509,0.570652846,0.114127038,5.000154718,5.73E-07,1.31E-05
ENSG00000004779.8,3156.968984,-0.133958452,0.071512516,-1.873216878,0.061038443,0.151547556
ENSG00000004799.7,4025.703531,1.032309903,0.170745681,6.04589174,1.49E-09,9.36E-08
ENSG00000004809.12,8.07043824,-0.789188138,0.214472558,-3.679669537,0.000233536,0.00188005
ENSG00000004838.12,1121.181997,0.533244374,0.168443313,3.165720065,0.001546996,0.008735187
ENSG00000004846.15,36.60267186,0.676635029,0.223378763,3.029092912,0.002452892,0.012699699
ENSG00000004848.6,62.71577005,0.753876249,0.318922706,2.363821189,0.01808754,0.060439496
ENSG00000004864.12,1421.906018,-0.413152813,0.069502408,-5.944438839,2.77E-09,1.57E-07
ENSG00000004866.17,1776.993885,-0.227049381,0.053583626,-4.237290355,2.26E-05,0.000279829
ENSG00000004897.10,4085.106581,-0.156270581,0.061932844,-2.523226295,0.011628354,0.043007967
ENSG00000004939.12,3.05255742,0.263025046,0.23745507,1.107683428,0.267998559,0.441313569
ENSG00000004948.12,27.42804881,0.4634364,0.1868034,2.480877763,0.013105931,0.047162492
ENSG00000004961.13,1234.604543,-0.30560122,0.04933469,-6.194449002,5.85E-10,4.27E-08
ENSG00000004975.10,1833.29913,0.079075228,0.060499412,1.307041274,0.191198694,0.348863171
ENSG00000005001.8,930.9791585,0.25592112,0.123143225,2.078239547,0.037687301,0.105553665
ENSG00000005007.11,8093.777043,-0.003218337,0.048196486,-0.066775343,0.946760553,0.970875659
ENSG00000005020.11,1786.601323,0.007568296,0.093109267,0.081284025,0.935216078,0.964934939
ENSG00000005022.5,13316.36235,-0.312287118,0.077641475,-4.022168788,5.77E-05,0.000605434
ENSG00000005059.14,1387.412561,-0.014320784,0.069948956,-0.204731914,0.837781585,0.908197692
ENSG00000005073.5,50.24811395,-0.419555952,0.179295335,-2.340027156,0.019282338,0.063436788
ENSG00000005075.14,1956.837712,0.065651017,0.096149553,0.682801063,0.494732558,0.65892276
ENSG00000005100.11,1534.280169,-0.173000124,0.059491538,-2.907978671,0.003637731,0.01730884
ENSG00000005102.11,449.2872342,0.686904116,0.176082071,3.901045193,9.58E-05,0.000916766
ENSG00000005108.14,405.328703,0.04675484,0.136028023,0.343714762,0.731060808,0.839205649
ENSG00000005156.10,2871.06673,0.036233245,0.077545381,0.467252136,0.640319497,0.774866437
ENSG00000005175.8,2075.79768,-0.205254687,0.047901207,-4.284958589,1.83E-05,0.000234397
ENSG00000005187.10,237.9813918,0.030027441,0.114781623,0.261604951,0.793626027,0.880047143
ENSG00000005189.18,540.1873405,-0.092527624,0.095034072,-0.973625796,0.330242373,0.507961024
ENSG00000005194.13,2091.168636,-0.500482802,0.058206055,-8.598466268,8.08E-18,5.25E-15
ENSG00000005206.15,2718.360352,0.406708239,0.08963746,4.537257509,5.70E-06,8.89E-05
ENSG00000005238.18,1391.166943,-0.082604198,0.068253847,-1.210249701,0.226183092,0.392328255
ENSG00000005243.8,1067.84969,0.250388109,0.126814017,1.97445136,0.048330443,0.127181601
ENSG00000005249.11,3610.082535,0.132223156,0.12340653,1.071443756,0.283969947,0.459239547
ENSG00000005302.16,1736.481943,-0.171524138,0.058398158,-2.937149806,0.00331244,0.016061227
ENSG00000005339.11,8824.227428,-0.038893445,0.06035515,-0.644409706,0.519309792,0.679572496
ENSG00000005379.14,1624.89721,0.453768043,0.129751514,3.497208065,0.000470155,0.00332285
ENSG00000005381.7,14.32899771,-0.124484379,0.160068603,-0.777693922,0.436749476,0.609104156
ENSG00000005421.7,29.37754184,0.358770483,0.270876953,1.324477698,0.185344445,0.341296254
ENSG00000005436.12,1358.318556,-0.162518332,0.052704029,-3.083603549,0.002045099,0.010948145
ENSG00000005448.15,827.4388203,0.115245983,0.093964036,1.226490346,0.220014206,0.384793069
ENSG00000005469.10,2255.96509,0.242360072,0.105700614,2.292891797,0.021854235,0.069558409
ENSG00000005471.14,124.4071502,0.153616226,0.086386599,1.778241391,0.075364218,0.177619621
ENSG00000005483.18,6124.190804,-0.005576069,0.079484397,-0.070152997,0.944071885,0.969455128
ENSG00000005486.15,6222.182087,-0.073340018,0.072728565,-1.008407319,0.313258961,0.49014794
ENSG00000005513.9,112.2738738,-0.440275114,0.198644961,-2.216392053,0.026664663,0.081022827
ENSG00000005700.13,4435.307803,-0.179260191,0.06429419,-2.788124277,0.00530142,0.023274702
ENSG00000005801.15,1339.315946,-0.191902562,0.054840399,-3.499291849,0.000466496,0.003306492
ENSG00000005810.16,4935.210516,0.023674257,0.098543539,0.240241597,0.810142968,0.890917476
ENSG00000005812.9,4311.585955,0.049993125,0.07475948,0.66871954,0.503674401,0.66619243
ENSG00000005844.16,2100.733673,0.12784468,0.138224638,0.924905156,0.355015245,0.532401129
ENSG00000005882.10,1529.377468,0.125582804,0.08894977,1.411839555,0.157997209,0.304429649
ENSG00000005884.16,6067.871152,0.033140598,0.109970846,0.301358032,0.763141493,0.860932426
ENSG00000005889.14,3773.966245,-0.277171827,0.087538354,-3.166290151,0.001543967,0.008720608
ENSG00000005893.14,13669.35613,-0.363638112,0.057936953,-6.276445267,3.46E-10,2.77E-08
ENSG00000005961.16,62.40833504,0.402844742,0.165768226,2.430168623,0.0150918,0.052720857
ENSG00000005981.11,12.37497576,0.214405635,0.229333615,0.934907143,0.349836156,0.527594252
ENSG00000006007.10,6723.190424,-0.064988244,0.061761686,-1.052242069,0.292688503,0.468623635
ENSG00000006015.16,1122.108222,0.503384019,0.122666562,4.103677564,4.07E-05,0.00045572
ENSG00000006016.9,276.3279794,0.09487771,0.150723557,0.629481629,0.529033792,0.687474311
ENSG00000006025.10,714.5174398,0.33924123,0.082136362,4.13021981,3.62E-05,0.000413651
ENSG00000006042.10,3219.9919,0.251866363,0.108509971,2.321135657,0.020279523,0.065824509
ENSG00000006047.11,469.4345572,0.173104614,0.177774109,0.973733546,0.330188856,0.507898733
ENSG00000006059.3,9.192566544,-0.19570387,0.302945281,-0.646004023,0.51827675,0.678809259
ENSG00000006062.12,1314.384407,0.324953221,0.08406893,3.865318858,0.000110944,0.001030513
ENSG00000006071.10,828.3125784,0.294206258,0.228538092,1.287340138,0.197975759,0.357450378
ENSG00000006116.3,0.608361026,-0.027244823,0.397912389,-0.068469402,0.945411976,0.970028195
ENSG00000006118.13,5513.120105,-0.240964595,0.136275529,-1.76821618,0.07702477,0.180336199
ENSG00000006125.15,23971.32704,-0.04365053,0.089680947,-0.486731363,0.626448717,0.764627287
ENSG00000006128.10,47.10421144,0.911554354,0.250837167,3.634048199,0.000279009,0.002173026
ENSG00000006194.9,2879.994453,-0.025251969,0.059370146,-0.425331086,0.670595336,0.79788165
ENSG00000006210.6,4562.300916,-0.063483487,0.173091049,-0.366763549,0.713795399,0.827683573
ENSG00000006282.18,4152.738705,0.186793329,0.105265832,1.774491549,0.075981879,0.178670696
ENSG00000006283.16,101.7308908,0.705880494,0.165885624,4.25522402,2.09E-05,0.000262054
ENSG00000006327.12,3184.275342,-0.252324698,0.137306592,-1.837673583,0.066110519,0.160850614
ENSG00000006377.10,12.27520275,-2.372822569,0.26929403,-8.81127059,1.24E-18,1.05E-15
ENSG00000006432.14,1060.476748,-0.246359254,0.088325309,-2.789226048,0.005283417,0.023219182
ENSG00000006451.6,4553.685274,-0.254787876,0.051497234,-4.947603088,7.51E-07,1.64E-05
ENSG00000006453.12,2402.513897,-0.082268735,0.092820816,-0.886317724,0.375446341,0.551963847
ENSG00000006459.9,2322.309306,-0.090935464,0.089757468,-1.013124212,0.311000835,0.487925959
ENSG00000006468.12,738.9080251,0.024210593,0.113732624,0.212872895,0.831426104,0.90416827
ENSG00000006530.14,1836.959587,-0.21633418,0.053365657,-4.053808956,5.04E-05,0.000541104
ENSG00000006534.14,947.8932968,0.117972644,0.110800787,1.064727496,0.286999263,0.462573597
ENSG00000006555.9,712.2802646,-0.263043555,0.146333402,-1.797563313,0.072246236,0.171983779
ENSG00000006576.15,2021.402128,-0.30650024,0.067512881,-4.539877975,5.63E-06,8.80E-05
ENSG00000006606.7,19.16063026,-0.257209802,0.170548878,-1.508129544,0.131521375,0.266609456
ENSG00000006607.12,2327.377911,-0.126667373,0.064203484,-1.972904972,0.04850639,0.127549965
ENSG00000006611.14,14.47851992,-0.641114567,0.254640679,-2.517722505,0.011811634,0.043532873
ENSG00000006625.16,4356.540327,-0.292776126,0.092924572,-3.150685751,0.001628876,0.009093104
ENSG00000006634.6,788.0057994,-0.476707194,0.080713267,-5.906181369,3.50E-09,1.89E-07
ENSG00000006638.10,162.5300153,0.233945179,0.085624178,2.732232708,0.006290669,0.026605766
ENSG00000006652.12,1778.690411,-0.262056118,0.090158814,-2.90660564,0.003653735,0.017365925
ENSG00000006659.11,4.673109344,-0.275780193,0.353894137,-0.779273133,0.435818838,0.608253014
ENSG00000006695.9,832.9327144,-0.067084478,0.050516318,-1.327976379,0.18418591,0.339850576
ENSG00000006704.9,2296.796079,-0.11737202,0.066814129,-1.756694602,0.078969878,0.183630738
ENSG00000006712.13,4787.02972,0.089126123,0.059730567,1.4921359,0.135663522,0.273020651
ENSG00000006715.14,3664.975964,-0.073066324,0.051836899,-1.409542725,0.158674749,0.305358096
ENSG00000006740.15,573.5263456,0.08220684,0.119518615,0.687816201,0.491568532,0.656007648
ENSG00000006744.17,3724.269995,-0.099822112,0.05228301,-1.909264814,0.056227939,0.142670852
ENSG00000006747.13,829.5565378,-0.523816671,0.207106589,-2.529212968,0.011431864,0.042441936
ENSG00000006756.14,7609.477071,0.026518789,0.085622104,0.309718957,0.756774686,0.85659779
ENSG00000006757.10,1884.926586,-0.094729439,0.088912095,-1.065428041,0.286682273,0.462284497
ENSG00000006788.11,32.60732653,0.053553192,0.154005084,0.347736522,0.728038066,0.837270459
ENSG00000006831.9,9177.260904,-0.386467108,0.107921803,-3.58099194,0.000342292,0.002569958
ENSG00000006837.10,65.58736827,0.147571834,0.086628604,1.703500089,0.088474521,0.199762477
ENSG00000007001.11,15.36652555,-0.26460697,0.181759501,-1.455808184,0.145445653,0.286905284
ENSG00000007038.9,195.1998585,-0.901233799,0.270543216,-3.331200881,0.000864722,0.005464208
ENSG00000007047.13,2555.693971,-0.059332549,0.0549196,-1.080352892,0.279985065,0.454661062
ENSG00000007062.10,4133.36892,-0.98135837,0.264081275,-3.7161225,0.000202304,0.001674754
ENSG00000007080.9,2657.115125,0.237705098,0.102659087,2.315480337,0.020586659,0.066616354
ENSG00000007129.16,94.47058157,0.224946722,0.141674666,1.587769561,0.112338457,0.237604061
ENSG00000007168.11,7738.531426,-0.146365777,0.049862413,-2.935392981,0.003331255,0.016133944
ENSG00000007171.15,46.42874096,-0.210982639,0.120023182,-1.757849073,0.078773193,0.183327907
ENSG00000007174.16,47.02135841,-0.393886512,0.188971431,-2.084370691,0.037126462,0.104304877
ENSG00000007202.13,12940.36578,-0.147309299,0.08530598,-1.726834395,0.08419741,0.192669658
ENSG00000007216.13,337.2375392,0.232862638,0.262426268,0.887345004,0.374893183,0.551337613
ENSG00000007237.17,3473.604572,0.365377867,0.110219244,3.315009746,0.000916399,0.005717347
ENSG00000007255.9,1728.830353,0.43613728,0.10242072,4.258291489,2.06E-05,0.000259235
ENSG00000007264.12,312.7971072,0.214127078,0.181486353,1.179852232,0.238058991,0.406742757
ENSG00000007306.13,40.36577607,0.494033671,0.239873499,2.059559195,0.039440701,0.109184556
ENSG00000007312.11,458.7822589,0.07386401,0.198287071,0.372510468,0.70951282,0.824875257
ENSG00000007314.10,144.5867082,0.757191695,0.140275977,5.397871468,6.74E-08,2.24E-06
ENSG00000007341.17,739.6572514,-0.009142423,0.056964295,-0.160493915,0.872492014,0.929716038
ENSG00000007350.15,4.876242395,0.443520176,0.197232416,2.248718467,0.024530413,0.075933269
ENSG00000007372.19,174.2252952,-0.237450823,0.109565497,-2.16720435,0.030219276,0.089036103
ENSG00000007376.6,1772.932843,-0.017905521,0.095612311,-0.187272133,0.851447271,0.916954063
ENSG00000007384.14,3663.309096,0.12066951,0.082180751,1.468342744,0.142011146,0.28225692
ENSG00000007392.15,2896.863069,0.318001635,0.085256623,3.729934671,0.000191529,0.001603422
ENSG00000007402.10,1167.138761,0.112440951,0.153867885,0.730762962,0.46492395,0.633910077
ENSG00000007516.12,1350.000083,0.423975763,0.187912142,2.256244637,0.024055314,0.074854106
ENSG00000007520.3,2595.539001,0.231617837,0.096218012,2.40721912,0.016074522,0.055309512
ENSG00000007541.13,5456.576334,0.263200379,0.099528465,2.644473397,0.008181814,0.03268369
ENSG00000007545.14,1771.906358,-0.090232834,0.072828153,-1.238982862,0.215351845,0.379287635
ENSG00000007866.17,2586.104209,-0.028935788,0.068538739,-0.422181515,0.672892533,0.799568313
ENSG00000007908.14,651.4034255,0.130714801,0.179621848,0.727722172,0.466783675,0.63520876
ENSG00000007923.14,1725.23941,-0.196165297,0.05219598,-3.75824532,0.000171109,0.0014626
ENSG00000007933.11,181.6798365,-0.045993513,0.15223295,-0.302125876,0.762556108,0.860613848
ENSG00000007944.13,2991.111152,-0.016658679,0.083171214,-0.200293802,0.84125081,0.910295304
ENSG00000007952.16,67.22053563,-0.023640488,0.095891507,-0.246533699,0.805269121,0.887684627
ENSG00000007968.6,483.8867929,-0.801956763,0.145434682,-5.514205785,3.50E-08,1.29E-06
ENSG00000008018.8,7960.724377,-0.224905809,0.070056893,-3.210330908,0.001325822,0.007718697
ENSG00000008056.11,99.76712392,-0.58557,0.149242603,-3.923611548,8.72E-05,0.000848646
ENSG00000008083.12,2679.472807,-0.157931499,0.073726965,-2.142113131,0.03218438,0.09342786
ENSG00000008086.9,1271.843123,-0.258735589,0.090308672,-2.865013775,0.004169911,0.01929505
ENSG00000008118.8,19.62807768,-0.379291727,0.154113261,-2.461123231,0.013850278,0.049263956
ENSG00000008128.21,312.443448,0.291436084,0.080107422,3.638065965,0.000274693,0.002144552
ENSG00000008130.14,3357.854816,-0.038608573,0.049186337,-0.78494508,0.43248577,0.605219317
ENSG00000008196.11,5590.951997,0.578737059,0.260642637,2.220423582,0.026390028,0.080371459
ENSG00000008197.4,0.130001322,-0.228081405,0.994461932,-0.22935157,0.818595675,NA
ENSG00000008226.18,83.21474974,0.456373082,0.13528133,3.373511205,0.00074216,0.004807099
ENSG00000008256.14,2582.513346,0.066335956,0.090885813,0.729882402,0.46546207,0.634211603
ENSG00000008277.13,649.2647905,0.091515159,0.127062971,0.720234683,0.471380513,0.639535632
ENSG00000008282.6,8553.508378,-0.050023758,0.071165705,-0.70291944,0.482105956,0.648392599
ENSG00000008283.14,10585.5765,-0.282796744,0.083833533,-3.373312968,0.000742695,0.004809763
ENSG00000008294.19,5371.6193,-0.072752638,0.080840748,-0.899950077,0.368146819,0.545027272
ENSG00000008300.13,814.182981,0.012424642,0.172026171,0.072225299,0.942422612,0.968669781
ENSG00000008311.13,388.7063971,0.378864457,0.113559377,3.336267478,0.000849114,0.005385408
